observation_id,species_name,common_name,date_observed,location,image_url,descriptive_notes
OBS001,Panthera pardus,Leopard,5/1/2025,"Trail 5, Margalla Hills",https://cdn-blog.zameen.com/blog/wp-content/uploads/2022/02/1440x625-tiger.jpg,Observed resting under dense cover during early morning patrol.
OBS002,Psittacula krameri,Rose-ringed Parakeet,5/2/2025,Near Daman-e-Koh,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Rose-ringed_parakeet_%28Psittacula_krameri_borealis%29_male_Jaipur_2.jpg/1200px-Rose-ringed_parakeet_%28Psittacula_krameri_borealis%29_male_Jaipur_2.jpg,Small flock feeding on fruiting fig tree; very vocal.
OBS003,Apis cerana,Asian Honey Bee,5/3/2025,Rawal Lake Park,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR6AguMc-3tW15JqMXyqU2CTuEI7wU60v57A-yehSxXln5lGfB1mWG6cwbCspM4495aF2wgcBL_Dh5sPg2Lt42ZFHTMp9wu9D149LOWVMM,Seen collecting nectar from mustard flowers near lakeside.
OBS004,Capra aegagrus hircus,Wild Goat,5/4/2025,Pir Sohawa,https://c8.alamy.com/comp/2T39XAF/grey-and-white-goat-capra-aegagrus-hircus-long-haired-on-grass-and-seen-from-profile-2T39XAF.jpg,Grazing along rocky cliffs; agile movement on steep slopes.
OBS005,Python molurus,Indian Rock Python,5/4/2025,Near Monal Restaurant,https://www.monaconatureencyclopedia.com/wp-content/uploads/2011/04/Python-molurus-bivittatus.jpg,Coiled in a shaded crevice; non-aggressive behavior observed.
OBS006,Muntiacus muntjak,Barking Deer,5/5/2025,"Trail 3, Margalla Hills",https://media.istockphoto.com/id/175117583/photo/muntiacus-muntjak-or-feas-barking-deer.jpg?s=612x612&w=0&k=20&c=hxdxGRrsbZV1LEolm3vqLacuyRzTovihw8nB5yYCg44=,Spotted at dusk near watering hole; solitary.
OBS007,Aquila nipalensis,Steppe Eagle,5/6/2025,Near Rawal Dam spillway,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/140479321/320,Soaring overhead; possibly hunting or scavenging.
OBS008,Varanus bengalensis,Monitor Lizard,5/7/2025,"Trail 6, Margalla",https://iucn-mlsg.org/wp-content/uploads/2021/11/37268467130_0aa6ffa1ae_o-1030x704.jpg,Seen sunbathing on a rock; startled and fled quickly.
OBS009,Buteo buteo,Common Buzzard,5/8/2025,Faisal Mosque rear hills,https://inaturalist-open-data.s3.amazonaws.com/photos/192398523/original.jpeg,Gliding at mid-altitude; occasional dives.
OBS010,Felis chaus,Jungle Cat,5/9/2025,Shahdara Valley,https://chasingwildlife.com/wp-content/uploads/2024/04/jungle-cat-in-ranthambore-national-park.jpg,Brief sighting during early morning; retreated into underbrush.
OBS011,Cercopis vulnerata,Red and Black Froghopper,5/10/2025,Rawal Lake Wetlands,https://observation.org/media/photo/6779301.jpg,Spotted among reeds; distinctive coloration.
OBS012,Milvus migrans,Black Kite,5/11/2025,Lake View Park,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSPUfgllxnYYg06kawcO-yzK_rP0Yoc_EgzTA&s,Circling in groups; aggressive food behavior near picnic area.
OBS013,Hystrix indica,Indian Crested Porcupine,5/12/2025,Margalla foothills,https://upload.wikimedia.org/wikipedia/commons/e/e3/Weissschwanzstachelschwein_Hystrix_indica_Tierpark_Hellabrunn-12_%28cropped%29.jpg,Observed foraging at night; left distinct quills behind.
OBS014,Lanius schach,Long-tailed Shrike,5/13/2025,Saidpur Village,https://upload.wikimedia.org/wikipedia/commons/9/91/Long-tailed_Shrike_%28Lanius_schach%29.jpg,Perched on wire fence; showed hunting behavior.
OBS015,Elephas maximus indicus,Indian Elephant,5/14/2025,Islamabad Zoo (historical record),https://inaturalist-open-data.s3.amazonaws.com/photos/94419610/large.jpeg,Observation based on educational display board from zoo archives.
